INVOICE_NO,vcurr Net Revenue,INVOICE_DATE,$ Net Revenue,$ Gross Revenue,vcurr Gross Revenue,Sum of TONS_QTY
VKGS-202233,-14009,2024-12-10 00:00:00,-14794,-14793.9217,-14009.395549242425,-5.843462673533099
VKGS-202234,-21614,2024-12-10 00:00:00,-22824,-22824.4189,-21614.033049242425,-7.2397560661041
VKR-136083,121795,2024-01-05 00:00:00,134583,134583.12,121794.67873303167,65.6183686796638
VKR-136085,40760,2024-01-04 00:00:00,45039,45039.2599,40759.511221719455,21.490571461282002
VKR-136086,19554,2024-01-03 00:00:00,21607,21606.7646,19553.633122171945,9.191623001222199
VKR-136087,350,2024-01-05 00:00:00,387,386.5594,349.8275113122172,0.0384011300442
VKR-136088,45109,2024-01-02 00:00:00,49846,49845.8213,45109.34054298643,21.2604867315995
VKR-136089,29664,2024-01-05 00:00:00,32778,32778.2364,29663.56235294118,9.780694340293799
VKR-136090,39013,2024-01-05 00:00:00,43109,43109.1066,39012.766153846154,22.3878588157686
VKR-136091,40046,2024-01-05 00:00:00,44251,44250.8483,40046.01656108597,22.793878418003
VKR-136092,24310,2024-01-08 00:00:00,26862,26862.447200000002,24309.906968325795,11.274224329221699
