value
72535
72589
73340
88481
89129
89134
89143
89150
89155
89160
89165
89173
89176
89177
89179
89180
89182
89186
89188
89189
89191
89192
89194
89195
89197
89198
89579
89584
89597
89601
89604
89607
89610
89611
89613
89616
89617
89619
88400
88416
88422
88427
88430
88433
88436
88437
88444
88450
88451
88453
88457
88471
88477
88480
88484
88489
88499
88515
88521
88524
71032
71034
71063
71065
71067
71069
71083
71088
71093
71101
71106
71111
71116
71126
71131
71134
71139
71144
71149
71154
71155
71157
71159
71229
71263
71272
71277
71287
75392
78354
88045
88046
88048
88069
88074
88079
88085
88090
88094
88097
88099
88633
88662
88677
88682
88690
88693
88696
88697
88699
88709
88718
88719
79189
79194
79199
79206
79219
79224
79227
79232
79235
79238
79241
79244
79249
79252
79254
79256
79258
79268
79271
79274
79280
79282
79283
79285
79286
79288
79289
79292
79294
79295
79299
79379
79395
79410
79423
79424
79426
79427
79822
79843
79853
79856
79859
79868
79871
79874
79877
89423
72202
72213
72218
72221
72224
72226
72227
75323
75328
75335
75337
75339
75365
75378
75382
75385
75387
75389
75391
75394
75395
75397
76332
79183
79211
79215
79312
79331
79336
79341
79346
79348
79350
79353
79359
79361
79364
79365
79369
71292
71296
71297
71299
75196
75203
75210
75217
75223
75224
75228
75233
75236
75239
75242
75245
75249
75305
75331
75334
75417
75428
75433
75438
75443
75446
75447
75449
70629
70711
70771
70794
72622
72631
72636
72639
72644
72649
72654
72655
72660
72663
72666
72667
72669
73207
73230
73235
73240
73249
73252
73257
73262
73265
73266
73269
73275
73277
73666
73728
73730
73732
73733
73734
73760
73765
73770
73773
73776
73779
72160
72161
72162
72163
72178
72184
72186
72250
72270
72275
72280
72285
72290
72293
72296
77776
7309
70033
73033
73035
73037
73054
73061
73066
73072
73079
73084
73087
73092
73095
73098
73101
73102
73104
73105
73107
73108
73110
73111
73113
73114
73116
73117
73119
73278
73312
73326
73329
73333
73337
73342
73344
73345
73347
73349
89558
89168
89457
89518
89520
89522
89537
89542
89547
89551
89555
89561
89564
89568
89582
64297
71543
71717
74166
74172
74177
74182
74189
74193
74196
74197
74198
74199
74206
74211
74219
74223
74226
74229
74232
74235
74245
74246
74248
74249
74252
74254
74257
74259
74321
74336
74348
74360
74363
74374
74382
74388
74397
74831
74861
74906
74912
74930
74936
75031
74214
74238
74613
74626
74629
74632
74635
74636
74637
74638
74653
74670
74673
74676
74677
74679
68753
68794
75015
75038
75045
75053
75056
75059
76275
76287
76297
76307
76316
76327
76337
76344
76351
76356
76359
76646
76652
76661
76669
76676
76684
76689
76694
76698
76703
76706
76707
76709
78224
78234
78239
78244
78247
78250
78253
78256
78259
78262
78267
78315
78333
78337
78343
78345
78351
78355
78357
78359
78462
78464
78465
78467
78476
78479
78749
79400
79415
79418
79539
79540
79541
79576
79585
79588
79589
79591
79594
79599
79618
79639
79650
79669
79674
79677
79688
79689
79692
79764
70806
70825
70839
71254
71282
71563
71606
71634
71636
71638
71640
71642
71665
71672
71679
71686
71687
71691
71696
71701
71706
71708
71711
71720
71723
71729
71732
71735
71739
74343
74354
74366
74369
74372
74376
74379
74385
74391
74392
74399
74744
97877
97896
97900
97922
97941
97944
97947
97953
97959
97980
97990
97993
97996
97999
64850
69427
69429
74706
74722
74731
74736
74740
74743
74746
74747
74749
74821
74834
74838
74842
74847
74850
74855
74858
74862
74864
74865
74867
74869
77652
77654
77656
77694
77704
77709
77716
77723
77728
77731
77736
77740
77743
77746
77749
77756
77767
77770
77781
77784
77787
77790
77791
77793
77794
77796
77797
77799
77833
77855
77866
77871
77876
77880
77883
77886
77887
77889
77933
77948
77955
77960
77963
77966
77972
77974
77975
77977
77978
78132
99846
7529
73430
73431
73432
73433
73434
73441
73447
73450
73453
73457
73460
73463
73466
73467
73479
73485
73486
73488
73489
73491
73492
73494
73495
73497
73499
73525
73527
73529
73540
73547
73550
73557
73560
73563
73565
73566
73568
73569
73571
73572
73575
73577
73579
74417
76437
76448
76456
76461
76467
76470
76474
76476
76477
76479
76547
76549
76571
76593
76596
76597
76599
77815
77830
77839
8835
88137
88147
88212
88213
88214
88239
88250
88255
88260
88263
88267
88271
88273
88276
88279
88281
88284
88285
88287
88289
88299
88316
88317
88319
88326
88339
88353
88361
88362
88364
88368
88370
88371
88373
88374
88410
88821
70734
70736
71332
71334
71336
71364
71384
71394
71397
71404
71409
71522
71540
71546
71549
71554
71560
71566
71570
71573
71576
73553
73614
73630
73635
73642
73650
73655
73660
73663
73667
7279
55578
72124
72141
72261
72525
72531
72532
72534
72537
72555
72574
72581
72584
72587
72760
72762
72764
72766
72768
72770
72793
72800
72805
72813
72818
72820
72827
72829
73268
88529
68526
68534
68535
68542
68549
68550
68723
68766
68775
68782
68789
68799
68804
68809
69151
69168
69181
69190
69198
69207
69214
69221
69226
69231
69234
69242
69245
69250
69251
69253
69254
69256
69259
69412
69434
69469
