INVOICE_NO,vcurr Net Revenue,INVOICE_DATE,$ Net Revenue,$ Gross Revenue,vcurr Gross Revenue,Sum of TONS_QTY,$ Act Extended Cost,$ Std Extended Cost
VKGS-202161,-32502,2/7/2023 0:00,-35200,-35200,-32502.3084,-72.5747792,0,0
VKGS-202162,-1806,2/9/2023 0:00,-1956,-1955.8981,-1806.000092,-0.000453592,0,0
VKGS-202163,-1552,2/15/2023 0:00,-1680,-1680.3829,-1551.600092,-0.000453592,0,0
VKGS-202164,-5299,2/8/2023 0:00,-5739,-5738.5465,-5298.750231,-0.001360777,0,0
VKGS-202165,-724,2/24/2023 0:00,-784,-784.1363,-724.0409049,-0.000453592,0,0
VKGS-202166,-86952,2/28/2023 0:00,-94169,-94169.0195,-86952.00323,-47.34088227,-94250.348,-95328.2592
VKGS-202168,-1766,3/7/2023 0:00,-1876,-1875.7567,-1766.249247,-0.000453592,0,0
VKGS-202169,-502,3/9/2023 0:00,-533,-533.1238,-501.9998117,-0.000453592,0,0
VKGS-202175,-400,3/28/2023 0:00,-425,-424.6936,-399.8998117,-1.462835393,0,0
VKGS-202177,-3650,4/5/2023 0:00,-3971,-3971.4596,-3650.238603,-1.826484932,-4491.53,-3863.0637
VKGS-202178,-1299,4/6/2023 0:00,-1414,-1413.7249,-1299.379504,-0.000453592,0,0
VKGS-202180,-481,4/19/2023 0:00,-523,-522.8926,-480.5998162,-0.000453592,0,0
VKGS-202183,-3356,5/31/2023 0:00,-3685,-3685.4362,-3356.499271,-0.000453592,0,0
VKGS-202185,-405,7/10/2023 0:00,-444,-443.6147,-405.4978976,-0.000453592,0,0
VKGS-202186,-58432,7/10/2023 0:00,-63925,-63924.9,-58432.26691,-0.000453592,0,0
VKGS-202187,-1239,7/11/2023 0:00,-1356,-1355.7939,-1239.299726,-0.504181527,-1173.8251,-1234.5681
VKGS-202188,-3972,7/13/2023 0:00,-4345,-4345.0278,-3971.689031,-0.000453592,0,0
VKGS-202189,-10106,7/19/2023 0:00,-11056,-11056.2349,-10106.24762,-0.000453592,0,0
VKGS-202190,-4620,7/27/2023 0:00,-5054,-5054.2788,-4619.998903,-0.038101759,0,0
VKGS-202193,-346,10/9/2023 0:00,-367,-366.6788,-346.2500472,-0.221579873,0,0
VKGS-202196,-664,11/17/2023 0:00,-705,-705,-663.8418079,-0.226796185,0,0
VKGS-202197,-1498,12/18/2023 0:00,-1637,-1636.8769,-1497.600091,-0.816466266,0,0
VKGS-202198,-5453,12/19/2023 0:00,-5960,-5959.747,-5452.650503,-3.030251043,-5009.2114,-5431.2482
VKGS-202199,-19073,12/19/2023 0:00,-20847,-20847.0641,-19073.25169,-10.60487621,-17530.8499,-19009.3686
VKGS-202200,-2835,12/20/2023 0:00,-3099,-3098.6553,-2835.000274,-0.30617485,0,0
VKR-133262,6382,1/5/2023 0:00,6809,6809.4882,6381.900843486411,3.003239618,5004.0446,5964.7434
VKR-133263,15258,1/5/2023 0:00,16280,16280.1708,15257.892033739457,8.027001912,20264.72,22634.7405
VKR-133264,51560,1/3/2023 0:00,55015,55015.02870000001,51560.476757263365,24.19585532,44285.977399999996,48112.961299999995
VKR-133265,53695,1/3/2023 0:00,57293,57292.7005,53695.126991565136,24.179965982248998,52904.6681,54167.97289999999
VKR-133266,1428,1/3/2023 0:00,1524,1523.6762,1428.0001874414247,0.076203518,1267.6,1267.596
VKR-133268,24360,1/5/2023 0:00,25992,25992.1234,24360.00318650422,12.06497644,21439.8684,23222.6148
VKR-133269,17631,1/6/2023 0:00,18813,18812.7795,17631.470946579197,6.6776054341919995,15323.82,16350.5159
VKR-133270,4261,1/6/2023 0:00,4547,4546.5733,4261.080880974696,1.555259375,3918.72,4192.3284
VKR-133272,6750,1/6/2023 0:00,7202,7202.2509,6750.000843486411,0.449999918,2427.73,2439.162
VKR-133273,13624,1/6/2023 0:00,14537,14536.5431,13623.751733833178,5.960249101037001,13857.932299999999,14642.419699999999
VKR-133275,943,1/6/2023 0:00,1006,1006.1705,942.9901593252108,0.451669138,894.1423,885.738
VKR-133276,38003,1/9/2023 0:00,40550,40549.6371,38003.40871602624,17.30812776,38625.74,41213.6646
VKR-133277,17954,1/6/2023 0:00,19157,19157.3825,17954.43533270853,7.956549944720299,18724.7187,19686.6302
VKR-133278,7119,1/9/2023 0:00,7596,7595.974,7119.000937207124,2.947248176,6406.8885,6604.4739
VKR-133279,9137,1/9/2023 0:00,9749,9749.287,9137.101218,2.97823307,4986.8746,5964.7434
VKR-133280,37979,1/10/2023 0:00,40524,40523.732,37979.13027179007,13.166960962986598,46642.88,48801.7098
VKR-133281,38105,1/10/2023 0:00,40658,40658.4603,38105.39859418932,16.27332481,37981.84,39042.9598
VKR-133282,21539,1/9/2023 0:00,22982,22982.4447,21539.310871602625,10.70647637,25037.54,26196.3651
VKR-133283,38105,1/11/2023 0:00,40658,40658.4603,38105.39859418932,16.3664065,38618.65,40315.9015
VKR-133284,10107,1/11/2023 0:00,10784,10783.6493,10106.512933458294,4.445073684,9250.33,8891.9619
VKR-133287,50123,1/12/2023 0:00,53481,53481.0346,50122.80656044986,24.064009628782202,40089.1554,48022.6824
VKR-133288,50123,1/12/2023 0:00,53481,53481.0346,50122.80656044986,24.064009628782202,40212.4454,48022.6824
VKR-133289,29973,1/12/2023 0:00,31981,31981.1188,29972.93233364574,12.60074161,29539.407,35663.3653
VKR-133290,29973,1/12/2023 0:00,31981,31981.1188,29972.93233364574,12.65575329,29667.3595,34665.1548
VKR-133291,29902,1/12/2023 0:00,31906,31905.5716,29902.128959700094,13.17116123,25063.7716,30845.711
VKR-133292,14910,1/12/2023 0:00,15909,15909.0361,14910.061949390816,6.978700049,17605.4101,20432.4098
VKR-133293,14910,1/12/2023 0:00,15909,15909.0361,14910.061949390816,6.994707324,17795.9101,20432.4098
VKR-133294,14910,1/12/2023 0:00,15909,15909.0361,14910.061949390816,7.021700606,18097.3101,20432.4098
VKR-133295,14910,1/12/2023 0:00,15909,15909.0361,14910.061949390816,7.055706426,18373.8201,20432.4098
VKR-133296,14910,1/12/2023 0:00,15909,15909.0361,14910.061949390816,7.027710705,18371.7701,20432.4098
VKR-133297,14910,1/12/2023 0:00,15909,15909.0361,14910.061949390816,7.001697182557001,18310.3601,20432.4098
VKR-133298,14910,1/12/2023 0:00,15909,15909.0361,14910.061949390816,6.97971156,19515.5301,20432.4098
VKR-133299,14910,1/12/2023 0:00,15909,15909.0361,14910.061949390816,6.983698637315401,19368.4001,20432.4098
VKR-133300,14910,1/12/2023 0:00,15909,15909.0361,14910.061949390816,7.021682462,18727.9001,20432.4098
VKR-133301,14910,1/12/2023 0:00,15909,15909.0361,14910.061949390816,6.90268704,19269.6901,20432.4098
VKR-133302,37416,1/13/2023 0:00,39923,43849.1043,41095.69287722587,20.592866801815003,46973.6117,40572.0348
VKR-133303,14910,1/13/2023 0:00,15909,15909.0361,14910.061949390816,6.944703301266499,18987.7676,20432.4098
VKR-133304,14910,1/13/2023 0:00,15909,15909.0361,14910.061949390816,6.9457057404041995,19274.7601,20432.4098
VKR-133305,14910,1/13/2023 0:00,15909,15909.0361,14910.061949390816,6.97069868,18889.6101,20432.4098
VKR-133306,14910,1/13/2023 0:00,15909,15909.0361,14910.061949390816,7.1046807942417995,18169.7601,20432.4098
VKR-133307,14910,1/13/2023 0:00,15909,15909.0361,14910.061949390816,7.105683233,17690.6901,20432.4098
VKR-133308,27967,1/13/2023 0:00,29841,29840.6062,27966.828678537957,12.260746910658401,24967.7451,26523.293899999997
VKR-133309,6794,1/13/2023 0:00,7249,7249.465700000001,6794.250890346768,2.8957472978511003,6657.0038,6581.7682
VKR-133310,220,1/13/2023 0:00,235,234.5715,219.84208059981256,0.02494758,47.11,47.1081
VKR-133312,23888,1/16/2023 0:00,25488,25487.9658,23887.503092783507,10.562855415350699,18930.4611,24287.8756
VKR-133316,45551,1/16/2023 0:00,48603,48603.04610000001,45551.12099343956,23.94387569,42137.5695,46199.6169
VKR-133317,835,1/16/2023 0:00,890,890.4696,834.5544517338333,1.202051532,590.8113000000001,888.6083000000001
VKR-133318,31508,1/17/2023 0:00,33619,33618.907,31507.879100281163,15.101237585996099,26711.627800000002,31467.8574
VKR-133319,6791,1/17/2023 0:00,7246,7246.3847000000005,6791.363355201501,1.017112851,3193.2474,3186.7556
VKR-133320,4998,1/17/2023 0:00,5333,5333.2179,4998.329803186504,2.22644454,5434.15,5748.7826
VKR-133321,865,1/17/2023 0:00,922,922.4976,864.5713214620432,0.278251703,823.457,877.8209
VKR-133322,1028,1/17/2023 0:00,1097,1097.0729,1028.184536082474,0.115198854,987.9,2006.5148
VKR-133323,4078,1/17/2023 0:00,4352,4351.5541,4078.307497656983,1.626133182,3798.19,3904.3024
VKR-133324,2209,1/17/2023 0:00,2357,2357.1153,2209.1052483598874,0.799302331,1831.49,1933.596
VKR-133325,440,1/17/2023 0:00,469,469.143,439.6841611996251,0.000453592,0,0
VKR-133326,9730,1/18/2023 0:00,10382,10382.1684,9730.242174320525,4.058739991,9012.66,9616.5082
VKR-133327,4635,1/17/2023 0:00,4946,4945.9724,4635.400562324274,1.40499783,5804.57,5549.7124
VKR-133328,23108,1/18/2023 0:00,24657,24656.5332,23108.278537956892,9.530728657,17544.903599999998,24091.6329
VKR-133329,30997,1/18/2023 0:00,33074,33074.0968,30997.279100281165,13.633675760250698,29084.659,30013.9418
VKR-133330,44321,1/18/2023 0:00,47290,47289.9797,44320.50581068417,21.05676025,35157.111,42019.8471
VKR-133331,28539,1/18/2023 0:00,30451,30451.117,28539.00374882849,13.519121007207199,23698.8602,30423.4564
VKR-133332,1497,1/19/2023 0:00,1597,1597.035,1496.7525773195878,0.543045321,1266.06,1301.4306
VKR-133333,49125,1/19/2023 0:00,52416,52416.2538,49124.88641049672,14.730616332316501,43414.3886,42817.0882
VKR-133334,20270,1/20/2023 0:00,21628,21628.3596,20270.25267,8.994337536,21187.9934,22699.2726
VKR-133335,5359,1/20/2023 0:00,5718,5717.6806,5358.650984067479,1.768275423,4727.0062,5924.3895
VKR-133336,39955,1/20/2023 0:00,42632,42631.5638,39954.60524835989,17.25334741,33904.52,37428.6528
VKR-133337,9830,1/20/2023 0:00,10489,10488.9982,9830.363824,4.308447126,8528.7549,9364.7176
VKR-133338,47729,1/23/2023 0:00,50926,50926.444299999996,47728.626335520144,24.02587612,41492.3649,46889.752499999995
VKR-133339,46877,1/23/2023 0:00,50018,50017.8635,46877.09793814433,21.296760513428403,50778.22,54599.521
VKR-133340,8807,1/23/2023 0:00,9397,9397.2956,8807.212371134021,2.984229561,9158.9014,9854.8654
VKR-133341,43187,1/23/2023 0:00,46080,46080.0015,43186.50562324274,22.572847392025697,40905.6944,43542.4028
VKR-133343,7306,1/24/2023 0:00,7796,7795.857899999999,7306.333552014995,2.491115688,6078.139999999999,6359.1173
VKR-133344,38284,1/24/2023 0:00,40849,40849.2,38284.161199625116,24.22596932,45327.1933,38934.4032
VKR-133345,11400,1/24/2023 0:00,12164,12163.801599999999,11400.001499531396,22.588069951962904,12547.1675,12171.397
VKR-133346,41887,1/24/2023 0:00,44694,44693.5682,41887.13045923149,22.327848545217602,44428.5227,47287.6795
VKR-133347,16696,1/25/2023 0:00,17815,17814.954400000002,16696.302155576384,5.767649244811301,11852.07,12644.2701
VKR-133348,2913,1/25/2023 0:00,3108,3108.0725,2912.907685098407,1.029123977,2584.6189,2467.3095
VKR-133349,22284,1/25/2023 0:00,23777,23777.4313,22284.377975632615,7.911140813,21272.0516,26530.1761
VKR-133350,42005,1/25/2023 0:00,44820,44819.6076,42005.255482661676,22.595844525184695,40650.4589,43542.4028
VKR-133354,42005,1/25/2023 0:00,44820,44819.6076,42005.255482661676,22.62583152,39917.5396,43542.4028
VKR-133355,16607,1/25/2023 0:00,17719,17719.4579,16606.802155576384,6.219486212339399,16434.0345,16670.808
VKR-133356,0,1/25/2023 0:00,0,0.3201,0.3,0.030000599,161.85,162.6108
VKR-133357,17495,1/26/2023 0:00,18667,18667.2741,17495.102249297095,8.726749789,15237.4538,16993.4688
VKR-133358,43541,1/26/2023 0:00,46458,46458.1197,43540.880693533276,22.50065363,52899.222,53551.7377
VKR-133359,4418,1/27/2023 0:00,4714,4714.2306,4418.210496719775,1.591827991,3715,3974.9591
VKR-133360,552,1/27/2023 0:00,589,589.4361,552.4237113402062,0.000453592,0,0
VKR-133361,1293,1/25/2023 0:00,1379,1379.4609,1292.8405810684162,1.3470377971126999,2846.45,1172.6543
VKR-133364,40229,1/27/2023 0:00,42924,42923.9752,40228.65529522025,15.808233869420299,31206.3225,34309.5984
VKR-133365,23238,1/30/2023 0:00,24795,24795.015699999996,23238.065323336454,13.540984159441201,32329.699999999997,24805.253200000003
VKR-133366,23814,1/30/2023 0:00,25410,25409.5413,23814.003092783507,10.52787891,17594.5305,24807.9527
VKR-133367,30613,1/30/2023 0:00,32664,32664.3687,30613.27900656045,13.63125358,27645.7948,29642.348400000003
VKR-133368,26842,1/26/2023 0:00,28640,28640,26841.611996251173,3.999958956,38369.32,38369.32
VKR-133369,21261,1/30/2023 0:00,22686,22685.8781,21261.36654170572,8.630021216077798,19312.88,20606.843
VKR-133370,2609,1/30/2023 0:00,2784,2783.8225,2609.0182755388946,1.1002654041378999,2312.58,2222.9878
VKR-133371,14383,1/31/2023 0:00,15346,15346.3899,14382.745923149017,6.87462328,11789.6413,16743.0973
VKR-133372,12264,1/31/2023 0:00,13085,13085.4815,12263.806466729147,6.068503456061199,10401.0064,14550.5403
VKR-133373,6392,1/31/2023 0:00,6821,6820.6178,6392.331583880038,3.0342517280305996,5202.7746,7275.2755
VKR-133374,198,1/31/2023 0:00,211,210.7535,197.51968134957826,0.015998203,15.61,142.2098
VKR-133375,13637,1/31/2023 0:00,14551,14550.6512,13636.973945641988,6.898232762959999,14819.31,14763.951
VKR-133376,327,1/31/2023 0:00,349,348.8499,326.94461105904406,0.000453592,0,0
VKR-133377,32990,1/31/2023 0:00,35200,35200,32989.69072164949,72.5747792,0,0
VKR-133378,823,2/1/2023 0:00,891,891.198,822.8975069252077,0.381643548,979.6525,996.9448
VKR-133379,41279,2/2/2023 0:00,44705,44705.1007,41278.94801477378,21.3905997,35275.246,40886.2283
VKR-133380,41279,2/2/2023 0:00,44705,44705.1007,41278.94801477378,21.3905997,35378.486,40886.2283
VKR-133381,12136,2/2/2023 0:00,13144,13143.5153,12136.209879963066,23.58091108,12143.965,12183.75
VKR-133382,43872,2/3/2023 0:00,47513,57747.322,53321.626962142196,22.74788415,43416.6666,41090.9153
VKR-133383,38043,2/6/2023 0:00,41200,41200.0832,38042.551431209606,19.632593610830202,34280.1413,39226.6282
VKR-133384,34581,2/3/2023 0:00,37451,37451.26499999999,34581.03878116343,12.92380824,27600.107399999997,28820.7526
VKR-133385,29966,2/6/2023 0:00,32453,32453.1251,29965.951154201295,12.77011753,28996.9448,28300.512000000002
VKR-133386,37104,2/1/2023 0:00,40184,40183.6717,37104.036657433055,14.966085203430898,33356.19,35031.4328
VKR-133387,14496,2/3/2023 0:00,15699,15698.9476,14495.79649122807,6.653682973,17014.0514,15452.6989
VKR-133389,16401,2/3/2023 0:00,17762,17762.3551,16401.066574330565,7.9803454,19815.1192,19787.9695
VKR-133390,16401,2/3/2023 0:00,17762,17762.355199999998,16401.066666666666,7.967345443,19786.359200000003,19787.9696
VKR-133391,16401,2/3/2023 0:00,17762,17762.3551,16401.066574330565,7.920348737670599,19709.9092,19787.9695
VKR-133392,16401,2/3/2023 0:00,17762,17762.355199999998,16401.066666666666,7.877357253,19685.0291,19787.9696
VKR-133393,16401,2/3/2023 0:00,17762,17762.3551,16401.066574330565,7.979356569,20468.0792,19787.9695
VKR-133398,45789,2/3/2023 0:00,49589,49589.218100000006,45788.75170821792,22.768939909500396,41544.1107,44573.388399999996
VKR-133399,40836,2/1/2023 0:00,44225,44225.1866,40835.81403508772,21.51184494,43820.5275,40783.8848
VKR-133400,9475,2/1/2023 0:00,10261,10261.4566,9475.029178208679,4.551377592,7804.1719,11076.545
VKR-133401,6477,2/6/2023 0:00,7014,7014.3003,6476.731578947369,9.547865377,4635.8788,7098.8484
VKR-133402,6456,2/3/2023 0:00,6992,6992.1731,6456.300184672207,9.564158415,4605.12,7103.0504
VKR-133403,5721,2/2/2023 0:00,6196,6195.5965,5720.772391505078,2.4420007064452998,5002.654,6661.3706
VKR-133404,39344,2/3/2023 0:00,42609,42609.207,39343.681440443215,20.89052772,36464.4257,39511.4789
VKR-133405,11185,2/2/2023 0:00,12113,12113.2471,11184.900369344414,4.297325042,8559.980599999999,10126.0933
VKR-133406,2458,2/6/2023 0:00,2662,2662.1704,2458.1444136657433,0.785113961,2127.2052,2692.8037
VKR-133407,227,2/6/2023 0:00,246,245.857,227.01477377654663,0.000453592,0,0
VKR-133408,4293,2/3/2023 0:00,4649,4649.0207,4292.724561403509,1.623130401,3798.19,3962.8486
VKR-133409,9781,2/6/2023 0:00,10593,10592.5526,9780.750323176364,4.467286103,8685.1878,11028.6222
VKR-133410,300,2/6/2023 0:00,325,324.9,300,0.0150003,80.92,82.5246
VKR-133411,300,2/6/2023 0:00,325,324.9,300,0.000453592,0,0
VKR-133412,8042,2/6/2023 0:00,8709,8709.2384,8041.771375807942,2.5919538080436006,6839.85,7474.8768
VKR-133413,16401,2/6/2023 0:00,17762,17762.3551,16401.066574330565,7.7773628148755005,19481.8392,19787.9695
VKR-133414,16401,2/6/2023 0:00,17762,17762.3551,16401.066574330565,7.759382413,19459.2292,19787.9695
VKR-133415,16401,2/6/2023 0:00,17762,17762.3551,16401.066574330565,7.749353486027999,19452.7392,19787.9695
VKR-133416,16401,2/6/2023 0:00,17762,17762.3551,16401.066574330565,7.802373898,19531.0592,19787.9695
VKR-133417,16401,2/6/2023 0:00,17762,17762.3551,16401.066574330565,8.047363673118001,21284.0992,19787.9695
VKR-133418,16401,2/6/2023 0:00,17762,17762.3551,16401.066574330565,7.851366410041001,19595.8792,19787.9695
VKR-133419,16401,2/6/2023 0:00,17762,17762.3551,16401.066574330565,8.074370562827799,21370.3292,19787.9695
VKR-133420,16401,2/6/2023 0:00,17762,17762.3551,16401.066574330565,8.051387037,21214.8892,19787.9695
VKR-133421,31195,2/7/2023 0:00,33784,33783.86,31194.699907663897,69.65500511,0,0
VKR-133422,41816,2/7/2023 0:00,45287,55009.6333,50793.751892890126,20.440867998627997,40058.9465,39129.3315
VKR-133423,3360,2/7/2023 0:00,3639,3638.8801,3360.0000923361035,0.38400222859460004,3363.12,3508.92
VKR-133424,54691,2/7/2023 0:00,59230,59229.949100000005,54690.62705447831,22.18637309,55696.15329999999,57028.007600000004
VKR-133425,30656,2/8/2023 0:00,33201,33200.7308,30656.26112650046,17.211444545633803,36259.185,36599.985
VKR-133426,44464,2/8/2023 0:00,48155,48154.6539,44464.13102493075,20.93360993,43048.21,44914.4251
VKR-133427,15851,2/8/2023 0:00,17167,17166.9652,15851.306740535549,7.557615455,14015.7665,18520.9245
VKR-133428,45746,2/8/2023 0:00,49543,49543.1146,45746.181532779316,21.52788851,50490.090000000004,52955.407699999996
VKR-133429,23634,2/8/2023 0:00,25596,25596.1103,23634.450877192983,8.561887106,19543.2056,20476.79
VKR-133430,30656,2/8/2023 0:00,33201,33200.7308,30656.26112650046,17.14394093,36133.625,36599.985
VKR-133431,30656,2/8/2023 0:00,33201,33200.7308,30656.26112650046,17.254948589840502,36259.885,36599.985
VKR-133432,15215,2/8/2023 0:00,16477,16477.3041,15214.500554016622,7.5386144709259995,12544.8509,15297.8407
VKR-133436,956,2/8/2023 0:00,1035,1034.9043,955.5903047091413,0.26585956,724.7748,925.1203
VKR-133437,16505,2/8/2023 0:00,17875,17875.3164,16505.370637119115,7.7617410936527005,17587.9441,19125.6609
VKR-133438,1438,2/8/2023 0:00,1558,1557.75,1438.365650969529,0.43199230134059996,998.1,998.0928
VKR-133441,18710,2/8/2023 0:00,20263,20263.4112,18710.44432132964,7.6942102616070995,14190.431100000002,17197.9751
VKR-133442,6913,2/9/2023 0:00,7486,7486.3457,6912.599907663896,3.020244796,5707.9946,7414.3805
VKR-133443,23577,2/9/2023 0:00,25534,25533.8513,23576.96334256694,9.937868632,22544.437,22011.5093
VKR-133444,2600,2/8/2023 0:00,2816,2815.8001,2600.0000923361035,0.19200111429730002,1562.45,3032.4
VKR-133445,17893,2/9/2023 0:00,19378,19377.5782,17892.500646352724,7.497210559392399,17676.2334,19373.2455
VKR-133446,267020,2/13/2023 0:00,289183,289182.6707,267020.00987996307,48.35294664,24898.17,48424.828799999996
VKR-133447,2453,2/13/2023 0:00,2656,2656.362,2452.781163434903,1.045049605,2100.62,1929.5811
VKR-133448,1196,2/13/2023 0:00,1295,1295.1378,1195.879778393352,0.547046006,1266.06,1320.9459
VKR-133449,32700,2/13/2023 0:00,35414,35414.1121,32700.011172668514,18.40508648,37292.61,39039.984
VKR-133450,32700,2/13/2023 0:00,35414,35414.1121,32700.011172668514,18.4367064,37479.75,39039.984
VKR-133451,32700,2/13/2023 0:00,35414,35414.1121,32700.011172668514,18.32518618,37307.08,39039.984
VKR-133452,66047,2/13/2023 0:00,71529,71529.0119,66047.10240073869,20.30161061,54437.0222,59175.0117
VKR-133453,24381,2/13/2023 0:00,26405,26404.624,24381.000923361036,12.03300725,20114.5977,23129.6743
VKR-133454,47177,2/13/2023 0:00,51092,51092.1514,47176.50175438597,14.50616522,40956.243,42267.8655
VKR-133455,47324,2/14/2023 0:00,51252,51251.6432,47323.77027,21.3309387,42859.96,41757.6967
VKR-133456,18826,2/14/2023 0:00,20389,20388.6753,18826.108310249307,8.838369799,20486.1,21755.6939
VKR-133457,6672,2/14/2023 0:00,7226,7226.2671,6672.4534626038785,2.3648355724609003,5338.29,5630.4737000000005
VKR-133458,5859,2/13/2023 0:00,6345,6345.2972,5859.000184672207,1.71011581,0,0
VKR-133459,825,2/14/2023 0:00,893,893.475,825,0.036001626,330.75,319.8207
VKR-133460,350,2/14/2023 0:00,379,379.05,350,0.023999572,195.31,379.05
VKR-133462,795,2/1/2023 0:00,861,861.4829,795.4597414589105,0.064001883,62.44,577.369
VKR-133463,13667,2/14/2023 0:00,14801,14801.3074,13666.950507848569,5.846039078194701,11487.912,13540.9981
VKR-133464,1319,2/14/2023 0:00,1429,1428.5334,1319.052077562327,0.582947842,1285.9925,1416.7156
VKR-133465,38821,2/14/2023 0:00,42043,48442.5918,44730.001662049865,20.07184793,42675.4501,39129.3315
VKR-133466,38821,2/14/2023 0:00,42043,48442.5918,44730.001662049865,20.46186933,40101.2204,39129.3315
VKR-133467,43929,2/15/2023 0:00,47575,47574.7891,43928.70646352724,19.77719432,39198.8546,40245.8503
VKR-133468,16846,2/15/2023 0:00,18245,18244.684299999997,16846.43056325023,6.519002326,21273.21,21845.734500000002
VKR-133469,3266,2/15/2023 0:00,3537,3536.5366,3265.5000923361035,1.508122055,2632.7873,4223.7325
VKR-133470,6311,2/16/2023 0:00,6835,6834.5173,6310.726962142198,3.080245994,5116.9291,7617.0098
VKR-133471,24695,2/16/2023 0:00,26744,26744.3247,24694.667313019392,10.67724688,25039.38,24931.1582
VKR-133472,16328,2/16/2023 0:00,17683,17682.6832,16327.500646352724,7.521450536,15223.5573,17979.5436
VKR-133473,720,2/16/2023 0:00,780,779.76,720,0.03840113,332.65,967.4764
VKR-133474,11211,2/16/2023 0:00,12141,12141.351,11210.850415512466,5.972332802,13072.733,13814.3256
VKR-133475,42041,2/16/2023 0:00,45530,45530.0662,42040.68901,22.361545922384902,52563.3572,53383.4959
VKR-133476,6594,2/13/2023 0:00,7141,7141.3023,6594.000277008311,2.992085781,7164.8353,7673.4882
VKR-133477,10616,2/16/2023 0:00,11497,11496.5869,10615.500369344414,5.988253894,13632.6014,14191.3288
VKR-133478,3659,2/15/2023 0:00,3963,3962.9679000000006,3659.250138504156,0.7802741307976999,3200.4475,3541.7891
VKR-133479,4263,2/17/2023 0:00,4617,4617.1945,4263.337488457987,1.8488878593570002,4197.32,4462.8481
VKR-133480,12203,2/17/2023 0:00,13215,13215.3658,12202.553831948291,5.800983748082601,12875.27,13943.9174
VKR-133481,15643,2/16/2023 0:00,16941,16941.0841,15642.736934441367,7.532627052,12210.7607,17269.2364
VKR-133482,26065,2/16/2023 0:00,28229,28228.6863,26065.268975069255,12.329130496359602,21148.1302,31418.6206
VKR-133483,4531,2/16/2023 0:00,4907,4907.4041,4531.305724838412,2.263997453,5505.06,5505.0623
VKR-133485,30999,2/20/2023 0:00,33572,33572.3883,30999.435180055403,16.220621908529502,32811.14,34159.986
VKR-133486,7252,2/17/2023 0:00,7854,7853.5145,7251.629270544783,3.084192248,7433.4968,7791.9359
VKR-133487,26932,2/20/2023 0:00,29168,29167.876900000003,26932.48098,12.008599448099101,21797.7728,30450.093800000002
VKR-133488,3276,2/20/2023 0:00,3548,3547.9081,3276.0000923361035,1.508122055,2632.7773,4223.7325
VKR-133489,9382,2/20/2023 0:00,10161,10160.7782,9382.066666666668,3.0239461093841995,6986.7,6986.6496
VKR-133490,1756,2/20/2023 0:00,1901,1901.2245,1755.516620498615,0.566246571,1430.72,1480.3961
VKR-133491,13471,2/20/2023 0:00,14589,14589.326599999999,13471.21569713758,6.116361987019899,11800.5468,14530.6435
VKR-133495,2009,2/13/2023 0:00,2176,2175.5305,2008.8000923361033,0.64800206,1755.81,1684.2816
VKR-133496,5457,2/21/2023 0:00,5910,5910,5457.063711911357,2.000002157,7347.17,7457.3431
VKR-133497,1700,2/21/2023 0:00,1841,1841.1,1700,0.060454791,323.7,330.0984
VKR-133498,4988,2/22/2023 0:00,5401,5401.4627,4987.500184672207,1.445113539,4287.9946,5346.8793
VKR-133499,10859,2/22/2023 0:00,11760,11760.4057,10859.100369344413,4.245665407,9106.7207,11501.969000000001
VKR-133500,15990,2/22/2023 0:00,17317,17316.8562,15989.710249307478,6.38299719,20722.74,21266.1454
VKR-133501,3154,2/23/2023 0:00,3415,3415.3225,3153.5757156048016,1.41189697,3199.21,3464.7444
VKR-133502,280,2/23/2023 0:00,303,303.24,280,0.019200565,0,0
VKR-133503,33513,2/23/2023 0:00,36295,36294.64,33513.056325023084,14.38430309,34362.8868,40553.768899999995
VKR-133504,38084,2/23/2023 0:00,41244,41244.432,38083.501385041556,19.43763961,38971.0257,39407.2293
VKR-133505,29295,2/23/2023 0:00,31726,31726.4862,29295.00110803324,14.940425483059999,26314.5405,26314.5824
VKR-133509,38821,2/23/2023 0:00,42043,48442.5918,44730.001662049865,20.48084763,36748.2941,39129.3315
VKR-133510,8738,2/23/2023 0:00,9464,9463.687600000001,8738.400369344416,3.7302347887111997,7061.4118,8687.1762
VKR-133511,4089,2/23/2023 0:00,4429,4428.7119999999995,4089.3000923361033,1.7161213726579998,3274.7173,4086.8088
VKR-133512,45875,2/23/2023 0:00,49682,49682.0853,45874.501662049865,13.40803624,36706.4747,41784.5876
VKR-133513,4355,2/24/2023 0:00,4716,4716.3978,4354.937950138504,1.6341345517804997,3798.19,3962.8486
VKR-133514,43835,2/24/2023 0:00,47474,47473.74,43835.40166204986,23.907624587377295,43042.2287,42361.0901
VKR-133515,16505,2/24/2023 0:00,17875,17875.3164,16505.370637119115,7.738539844,18396.5353,19125.6609
VKR-133516,37680,2/24/2023 0:00,40807,40807.4523,37680.01135734072,19.717451671409798,40115.896,41306.4864
VKR-133517,38821,2/24/2023 0:00,42043,48442.5918,44730.001662049865,20.327850923718803,33532.8544,39129.3315
VKR-133518,37680,2/24/2023 0:00,40807,40807.4523,37680.01135734072,19.81243845,40322.106,41306.4864
VKR-133519,37680,2/24/2023 0:00,40807,40807.4523,37680.01135734072,19.68043853,40121.216,41306.4864
