INVOICE_NO,vcurr Net Revenue,INVOICE_DATE,$ Net Revenue,$ Gross Revenue,vcurr Gross Revenue,Sum of TONS_QTY,$ Act Extended Cost,$ Std Extended Cost
VKR-134605,39950,6/30/2023 0:00,43865,43864.8,39949.72677595628,24.128968592089898,49062.1934,45143.0784
VKR-134606,39950,6/30/2023 0:00,43865,43864.8,39949.72677595628,24.14996538,48038.1693,45143.0784
VKR-134607,39950,6/30/2023 0:00,43865,43864.8,39949.72677595628,24.18596247,42331.8258,45143.0784
VKR-134608,39950,6/30/2023 0:00,43865,43864.8,39949.72677595628,24.205970432821097,49181.5458,45143.0784
VKR-134609,39950,6/30/2023 0:00,43865,43864.8,39949.72677595628,24.21996829,52779.3358,45143.0784
VKR-134610,39950,6/30/2023 0:00,43865,43864.8,39949.72677595628,24.28397925,46141.1258,45143.0784
VKR-134611,39950,6/30/2023 0:00,43865,43864.8,39949.72677595628,24.193963842787202,51712.2058,45143.0784
VKR-134612,39950,6/30/2023 0:00,43865,43864.8,39949.72677595628,24.17396042,45776.0358,45143.0784
VKR-134613,39950,6/30/2023 0:00,43865,43864.8,39949.72677595628,24.18196179,41633.5358,45143.0784
VKR-134614,39950,6/30/2023 0:00,43865,43864.8,39949.72677595628,24.16795939,41620.0411,45143.0784
VKR-134615,39950,6/30/2023 0:00,43865,43864.8,39949.72677595628,24.20296765,52489.0058,45143.0784
VKR-134620,1275,6/30/2023 0:00,1400,1399.9497,1274.999726775956,0.519181827,1208.048,1291.746
VKR-134621,12330,6/30/2023 0:00,13539,13538.832600000002,12330.448633879781,5.4275366139378995,10975.81,10728.893
VKR-134622,1785,6/30/2023 0:00,1960,1959.9296,1784.9996357012749,0.724854215,1682.3472,1808.4444
VKR-134623,69713,6/28/2023 0:00,76544,76544.4739,69712.63561020036,22.30472894,59936.3776,60685.7038
VKR-134624,20423,6/29/2023 0:00,22424,22424.2693,20422.83178506375,10.97407772,27751.495300000002,29219.9887
VKR-134625,48881,6/30/2023 0:00,53671,53670.9888,48880.68196721311,25.20953902,45660.2425,49235.1738
VKR-134626,38950,7/3/2023 0:00,42611,52432.399,47927.23857404022,20.61789603,37267.9004,38975.391
VKR-134627,38950,7/3/2023 0:00,42611,52432.399,47927.23857404022,20.611895,37257.2704,38975.391
VKR-134628,42578,6/29/2023 0:00,46751,46750.5465,42577.91120218579,14.9343292,42302.3784,41710.6973
VKR-134629,4583,6/29/2023 0:00,5032,5031.9803,4582.860018214936,5.884993591,4194.9313,3467.4649000000004
VKR-134630,28867,6/29/2023 0:00,31696,31696.1793,28867.19426229508,14.984741457609001,28600.79,28600.8157
VKR-134631,41793,7/3/2023 0:00,45721,45721.1209,41792.61508226691,22.552853040356098,38486.7193,42878.1813
VKR-134632,41793,7/3/2023 0:00,45721,45721.1209,41792.61508226691,22.54685201,38480.0873,42878.1813
VKR-134633,41793,7/3/2023 0:00,45721,45721.1208,41792.61499085923,22.545854110086996,38477.0173,42878.181300000004
VKR-134634,41793,6/30/2023 0:00,45888,45888.2928,41792.61639344262,22.534877174732998,38436.4693,41859.1386
VKR-134635,38950,7/3/2023 0:00,42611,52432.399,47927.23857404022,20.615895686439895,37296.5804,38975.391
VKR-134636,52412,6/30/2023 0:00,57548,57548.4328,52412.05173041894,21.48183981,46568.118,43902.81
VKR-134637,40470,6/30/2023 0:00,44436,44435.845,40469.80418943534,15.80641043,34792.953799999996,30286.4081
VKR-134638,20639,6/30/2023 0:00,22662,22661.9207,20639.272040072858,10.54792315,20020.53,20020.5464
VKR-134639,23933,6/30/2023 0:00,26278,26278.2165,23932.801912568302,12.098596710230801,23030.870000000003,23051.5304
VKR-134640,5805,7/3/2023 0:00,6351,6350.6685,5804.998628884826,2.3433579737413996,4496.939,2979.5199
VKR-134641,38950,7/3/2023 0:00,42611,52432.399,47927.23857404022,20.611895,37485.0804,38975.391
VKR-134642,38950,7/3/2023 0:00,42611,52432.399,47927.23857404022,20.611895,37347.9804,38975.391
VKR-134643,20238,7/3/2023 0:00,22141,22140.9137,20238.49515539305,8.311966782,19925,22875.54
VKR-134644,12521,7/3/2023 0:00,13698,13698.244200000001,12521.246983546618,4.281004788,9529.0666,6364.9576
VKR-134645,51274,7/3/2023 0:00,56094,56093.879400000005,51274.11279707496,21.631865484537002,44794.312900000004,45884.821500000005
VKR-134646,16064,7/3/2023 0:00,17574,17573.6585,16063.673217550275,7.618582806,18805.5736,20506.7565
VKR-134647,15868,7/3/2023 0:00,17360,17359.7991,15868.189305301645,7.544565602820399,18132.1206,20257.2042
VKR-134648,22278,7/3/2023 0:00,24372,24372.4949,22278.33171846435,8.30304462,21813.8336,23278.8978
VKR-134649,30075,7/3/2023 0:00,32902,32901.6319,30074.617824497254,15.10023061,28243.763,25186.5494
VKR-134650,25373,7/3/2023 0:00,27758,27758.3289,25373.243967093233,13.4048747,27207.6031,33777.1953
VKR-134651,38950,7/4/2023 0:00,42611,52432.399,47927.23857404022,20.571888154702503,37476.3928,38975.391
VKR-134652,38950,7/4/2023 0:00,42611,52432.399,47927.23857404022,20.58188987,37559.2004,38975.391
VKR-134653,2970,7/4/2023 0:00,3249,3249.1792,2969.999268738574,0.000453592,0,0
VKR-134654,2970,7/4/2023 0:00,3249,3249.1792,2969.999268738574,0.000453592,0,0
VKR-134655,3580,7/4/2023 0:00,3917,3916.5191,3579.9991773308957,0.000453592,0,0
VKR-134656,37885,7/4/2023 0:00,41446,41446.2838,37885.08574040219,18.67271505,33310.95,33310.9216
VKR-134657,26879,7/4/2023 0:00,29405,29405.3145,26878.715265082265,12.626283393870299,27523.28,29000.9554
VKR-134658,9999,7/4/2023 0:00,10939,10938.9882,9999.075137111517,4.587592407,9038.04,9005.1188
VKR-134659,2875,7/4/2023 0:00,3145,3145.2514,2875.001279707495,1.1941227373382999,2346.694,3675.8947
VKR-134660,38950,7/4/2023 0:00,42611,52432.399,47927.23857404022,20.555885415888902,37559.3204,38975.391
VKR-134661,41792,7/4/2023 0:00,45721,45720.5055,41792.05255941499,22.693444,43068.9997,43344.717599999996
VKR-134662,44002,7/4/2023 0:00,48138,48137.6979,44001.55201096892,22.575890996828402,42041.7962,42839.2896
VKR-134663,16521,7/4/2023 0:00,18074,18073.6415,16520.696069469835,6.395285007,13107.4403,13765.4519
VKR-134664,2700,6/29/2023 0:00,2965,2964.5994,2699.999453551912,0.000453592,0,0
VKR-134665,485,6/30/2023 0:00,533,532.6617,485.1199453551912,0.000453592,0,0
VKR-134666,53498,6/30/2023 0:00,58741,58741.2,53498.36066,19.82270778,57583.01,55805.9797
VKR-134667,38950,7/4/2023 0:00,42611,52432.399,47927.23857404022,20.56188644,37569.3504,38975.391
VKR-134668,49223,7/4/2023 0:00,53850,53850.3474,49223.35228519195,13.08429375,32424.0653,32479.7879
VKR-134669,43395,7/4/2023 0:00,47474,47473.7959,43394.69460694698,20.38319826,47177.600000000006,44803.7745
VKR-134670,11678,7/4/2023 0:00,12776,12775.5512,11677.834734917733,4.246373011,7440.5198,8994.321
VKR-134671,575,7/5/2023 0:00,629,628.9933,574.9481718,1.378000012,562.69,613.0776
VKR-134672,36371,7/6/2023 0:00,39790,39789.7088,36370.84899451554,16.35834162,30068.36,30800.2353
VKR-134673,7807,7/6/2023 0:00,8541,8541.3074,7807.410786106032,3.0745488741813998,5720.16,5859.4202
VKR-134674,24415,7/6/2023 0:00,26710,26709.9709,24414.964259597804,11.81859414,22005.5,22092.8596
VKR-134676,41793,7/6/2023 0:00,45721,45721.1209,41792.61508226691,22.524866391127098,38423.9773,42878.1813
VKR-134677,41793,7/6/2023 0:00,45721,45721.1209,41792.61508226691,22.54587225,38454.5573,42878.1813
VKR-134678,41793,7/6/2023 0:00,45721,45721.1209,41792.61508226691,22.54486981,38453.1473,42878.1813
VKR-134679,41793,7/7/2023 0:00,45721,45721.1209,41792.61508226691,22.602725521437602,40481.2024,42878.1813
VKR-134680,41793,7/6/2023 0:00,45721,45721.1209,41792.61508226691,22.45387011,40873.9181,42878.1813
VKR-134681,16064,7/6/2023 0:00,17574,17573.6585,16063.673217550275,7.652529659,18854.8721,20506.7565
VKR-134682,43045,7/7/2023 0:00,47091,47090.9453,43044.73976234003,23.06482275,51957.139599999995,53793.6757
VKR-134683,16065,7/6/2023 0:00,17575,17575.1058,16064.996160877514,4.722345628,12352.4735,12400.7963
VKR-134684,22522,7/7/2023 0:00,24639,24638.6246,22521.59469835466,10.7647267,22346.0027,20626.5276
